filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2.tiff,926376.000,18.376,547.215,245.366,201,ok,pixels,1.000000
852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,105635.000,2.095,219.849,69.904,129,ok,pixels,1.000000
857d6a0b73__HUVEC__originais_None_D1__tp0h__D1_0HR_1.tiff,844788.000,16.757,419.061,36.336,178,ok,pixels,1.000000
876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,4795085.000,95.116,2389.856,93.694,13,ok,pixels,1.000000
89b61b11f6__HUVEC__originais_None_D4__tp8h__D4_8HR_1.tiff,350346.000,6.950,206.589,112.782,175,ok,pixels,1.000000
8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2.tiff,1557915.000,30.903,1111.922,544.786,230,ok,pixels,1.000000
8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,3424591.000,67.931,2189.826,432.020,123,ok,pixels,1.000000
8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,1701988.000,33.761,1019.899,524.373,258,ok,pixels,1.000000
8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1.tiff,237072.000,4.703,359.598,159.235,244,ok,pixels,1.000000
8ece12b29e__SKOV-3__P1_CT_F8__tp0h__ct2_3.tiff,1838099.000,36.461,893.409,19.373,134,ok,pixels,1.000000
90bf65dbb4__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_2_2.tiff,794289.000,15.756,388.770,32.882,182,ok,pixels,1.000000
915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2.tiff,3076313.000,61.022,1792.043,676.642,129,ok,pixels,1.000000
92633214a0__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_2.tiff,347338.000,6.890,183.382,48.249,179,ok,pixels,1.000000
9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,3851.000,0.076,46.287,24.713,15,ok,pixels,1.000000
95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2.tiff,3830578.000,75.984,2059.356,422.460,73,ok,pixels,1.000000
984fac6443__HUVEC__originais_None_B5__tp24h__B5_24HR_1.tiff,2026827.000,40.204,1323.558,626.690,225,ok,pixels,1.000000
9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,2247314.000,44.578,1500.945,993.103,181,ok,pixels,1.000000
9c1610d4f3__HUVEC__originais_None_A5__tp24h__A5_24HR_2.tiff,467449.000,9.272,350.625,183.533,204,ok,pixels,1.000000
9c4fdbdc3c__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_1_2.tiff,1104525.000,21.909,537.427,29.776,221,ok,pixels,1.000000
9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,48703.000,0.966,206.270,111.960,143,ok,pixels,1.000000
9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,162268.000,3.219,145.837,61.240,72,ok,pixels,1.000000
